# base_algorithm,wood
# population_size,25
# initial_mutation_rate,0.2
# max_iterations,300
# output_size,128
# generations_completed,300
# total_evaluations,7500
# runtime_s,231.473
# final_best_fitness,0.912175
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
139,3475,107282.00,107.2820,0.912080,0.912080,0.889722,0.857247,0.014918,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
140,3500,108061.00,108.0610,0.912080,0.912080,0.894781,0.867248,0.010601,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
141,3525,108833.00,108.8330,0.912080,0.912080,0.895224,0.877618,0.009663,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
142,3550,109599.00,109.5990,0.912080,0.912080,0.894331,0.859541,0.013745,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
143,3575,110362.00,110.3620,0.912080,0.912080,0.893123,0.833251,0.016250,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
144,3600,111131.00,111.1310,0.912080,0.912080,0.895709,0.875447,0.009510,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
145,3625,111905.00,111.9050,0.912080,0.912080,0.888699,0.855558,0.016046,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
146,3650,112669.00,112.6690,0.912080,0.912080,0.890262,0.862736,0.014244,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
147,3675,113437.00,113.4370,0.912080,0.912080,0.892427,0.873949,0.013233,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
148,3700,114202.00,114.2020,0.912080,0.912080,0.898641,0.881169,0.009132,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
149,3725,114969.00,114.9690,0.912080,0.912080,0.892113,0.866943,0.011375,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
150,3750,115759.00,115.7590,0.912080,0.912080,0.892671,0.870980,0.011133,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
151,3775,116533.00,116.5330,0.912080,0.912080,0.896611,0.870822,0.010145,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
152,3800,117303.00,117.3030,0.912080,0.912080,0.897029,0.872660,0.009817,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
153,3825,118077.00,118.0770,0.912080,0.912080,0.895193,0.843677,0.014167,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
154,3850,118836.00,118.8360,0.912080,0.912080,0.892973,0.864352,0.013763,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
155,3875,119599.00,119.5990,0.912080,0.912080,0.894291,0.863307,0.013716,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
156,3900,120369.00,120.3690,0.912080,0.912080,0.896116,0.845703,0.013979,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
157,3925,121140.00,121.1400,0.912080,0.912080,0.893366,0.859822,0.013571,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
158,3950,121899.00,121.8990,0.912080,0.912080,0.893321,0.869030,0.010457,0.500000,0.957818,0.997480,0.999639,0.739441,0.806824
159,3975,122662.00,122.6620,0.912175,0.912175,0.899298,0.878131,0.008981,0.500000,0.957731,0.997479,0.999328,0.741943,0.804932
