# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.05
# max_iterations,150
# output_size,128
# generations_completed,150
# total_evaluations,2250
# runtime_s,71.024
# final_best_fitness,0.913545
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
76,1140,35811.00,35.8110,0.873512,0.873512,0.872543,0.865433,0.002197,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
77,1155,36286.00,36.2860,0.873512,0.873512,0.872270,0.864641,0.002386,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
78,1170,36753.00,36.7530,0.873512,0.873512,0.872873,0.871010,0.000755,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
79,1185,37222.00,37.2220,0.873512,0.873512,0.871593,0.854425,0.004685,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
80,1200,37684.00,37.6840,0.873512,0.873512,0.873159,0.870727,0.000731,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
81,1215,38154.00,38.1540,0.873512,0.873512,0.868838,0.851679,0.006229,0.050000,0.965180,0.996289,0.999985,0.542786,0.804932
82,1230,38620.00,38.6200,0.873512,0.873512,0.872118,0.865503,0.002571,0.055000,0.965180,0.996289,0.999985,0.542786,0.804932
83,1245,39087.00,39.0870,0.873512,0.873512,0.873215,0.871178,0.000652,0.060500,0.965180,0.996289,0.999985,0.542786,0.804932
84,1260,39548.00,39.5480,0.873512,0.873512,0.872330,0.861969,0.002911,0.066550,0.965180,0.996289,0.999985,0.542786,0.804932
85,1275,40025.00,40.0250,0.873541,0.873541,0.873123,0.871126,0.000624,0.066550,0.965153,0.996326,0.998075,0.546265,0.804932
86,1290,40499.00,40.4990,0.873558,0.873558,0.872563,0.869260,0.001428,0.066550,0.965131,0.996301,0.999434,0.544006,0.804932
87,1305,40973.00,40.9730,0.873611,0.873611,0.870401,0.853554,0.005340,0.066550,0.965166,0.996309,0.998975,0.545044,0.804932
88,1320,41454.00,41.4540,0.873625,0.873625,0.871257,0.859663,0.004700,0.066550,0.965055,0.996302,0.999657,0.544006,0.804932
89,1335,41932.00,41.9320,0.873625,0.873625,0.871195,0.850732,0.005744,0.066550,0.965055,0.996302,0.999657,0.544006,0.804932
