# base_algorithm,wood
# population_size,15
# initial_mutation_rate,0.15
# max_iterations,150
# output_size,256
# generations_completed,150
# total_evaluations,2250
# runtime_s,78.454
# final_best_fitness,0.900307
generation,cumulative_evaluations,elapsed_ms,elapsed_s,best_fitness,best_ever_fitness,mean_fitness,worst_fitness,std_fitness,mutation_rate,best_comp_mean,best_comp_variance,best_comp_gradient_dir,best_comp_edge_density,best_comp_histogram
81,1215,42311.00,42.3110,0.894218,0.894218,0.886668,0.862638,0.008164,0.150000,0.954491,0.997136,0.999475,0.655472,0.803757
82,1230,42835.00,42.8350,0.894218,0.894218,0.889168,0.876047,0.005530,0.150000,0.954491,0.997136,0.999475,0.655472,0.803757
83,1245,43356.00,43.3560,0.894218,0.894218,0.888278,0.859926,0.008505,0.150000,0.954491,0.997136,0.999475,0.655472,0.803757
84,1260,43894.00,43.8940,0.894419,0.894419,0.890150,0.864551,0.007465,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
85,1275,44418.00,44.4180,0.894419,0.894419,0.889045,0.858849,0.009025,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
86,1290,44941.00,44.9410,0.894419,0.894419,0.889371,0.871367,0.005667,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
87,1305,45457.00,45.4570,0.894419,0.894419,0.889473,0.875979,0.005834,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
88,1320,45975.00,45.9750,0.894419,0.894419,0.889782,0.880588,0.004977,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
89,1335,46491.00,46.4910,0.894419,0.894419,0.889475,0.864583,0.008100,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
90,1350,47005.00,47.0050,0.894419,0.894419,0.888079,0.862946,0.008512,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
91,1365,47538.00,47.5380,0.894419,0.894419,0.887486,0.856102,0.009268,0.150000,0.954502,0.997141,0.999501,0.656509,0.803635
